CASE_NO,DateTime,ACCD_TP,Year,Longitude,Latitude,City,District,Village
CG136177,1921/20/10 51:74:00,2,102,121.586227,25.085434,Taipei City,Neihu District,Hubin Vil.
CG137478,1921/20/32 61:65:00,3,102,121.565861,25.085846,Taipei City,Neihu District,Xihu Vil.
CC140131,1921/20/91 11:65:00,2,102,121.511141,25.093443,Taipei City,Shilin District,
CG136810,1921/20/13 10:94:00,2,102,121.571157,25.075736,Taipei City,Zhongshan District,Jintai Vil.
CE113518,1921/20/21 52:05:00,2,102,121.589067,24.977685,Taipei City,Wenshan District,Zhinan Vil.
C7147960,1921/20/73 10:84:00,3,102,121.524439,25.066671,Taipei City,Zhongshan District,Qingguang Vil.
CB126494,1921/20/50 42:32:00,3,102,121.56422,25.051896,Taipei City,Songshan District,Anping Vil.
CC141581,1921/21/11 81:45:00,2,102,121.514552,25.086,Taipei City,Shilin District,Fuzhong Vil.
CG143987,1921/21/02 10:95:00,3,102,121.567007,25.081124,Taipei City,Neihu District,Xihu Vil.
CB124544,1921/20/10 40:83:00,3,102,121.535718,25.053814,Taipei City,Zhongshan District,Zhongyang Vil.
CH112396,1921/20/22 71:01:00,2,102,121.606865,25.0482,Taipei City,Nangang District,Zhongnan Vil.
CC137882,1921/20/52 61:51:00,3,102,121.519706,25.095596,Taipei City,Shilin District,Fujia Vil.
CG141136,1921/20/71 01:95:00,2,102,121.582645,25.070851,Taipei City,Neihu District,Huxing Vil.
CB126079,1921/20/31 92:25:00,2,102,121.535853,25.056462,Taipei City,Zhongshan District,Zhongyang Vil.
CC135612,1921/20/11 21:31:00,2,102,121.513801,25.097794,Taipei City,Shilin District,Fujia Vil.
CG145865,1921/21/23 10:24:00,2,102,121.577404,25.082766,Taipei City,Neihu District,Ganghua Vil.
C7143597,1921/20/11 01:73:00,2,102,121.514159,25.049935,Taipei City,Datong District,Jianming Vil.
C7149526,1921/21/00 80:91:00,2,102,121.541064,25.086004,Taipei City,Zhongshan District,Jiantan Vil.
C9119299,1921/20/30 51:90:00,3,102,121.513363,25.046969,Taipei City,Zhongzheng District,Liming Vil.
CD116935,1921/20/81 41:24:00,2,102,121.507868,25.120536,Taipei City,Beitou District,Donghua Vil.
C5126421,1921/20/52 71:84:00,3,102,121.508561,25.051356,Taipei City,Datong District,Yuquan Vil.
C7145075,1921/20/31 51:15:00,2,102,121.513687,25.052641,Taipei City,Datong District,Jiangong Vil.
C7149663,1921/20/90 70:90:00,2,102,121.533751,25.068265,Taipei City,Zhongshan District,Dajia Vil.
CD123353,1921/20/32 20:05:00,2,102,121.508665,25.119535,Taipei City,Beitou District,Linong Vil.
C7145976,1921/20/60 21:51:00,2,102,121.51535,25.059889,Taipei City,Datong District,Minquan Vil.
C8148667,1921/20/90 71:42:00,2,102,121.544303,25.036529,Taipei City,Da an District,Renci Vil.
C8148765,1921/20/90 90:74:00,3,102,121.537951,25.045454,Taipei City,Zhongshan District,Pitou Vil.
C9119985,1921/20/70 90:73:00,2,102,121.510921,25.046495,Taipei City,Zhongzheng District,Guangfu Vil.
CC133224,1921/20/10 51:34:00,2,102,121.513827,25.089583,Taipei City,Shilin District,
CB126880,1921/20/52 01:63:00,2,102,121.54291,25.05367,Taipei City,Zhongshan District,Fuhua Vil.
C7132123,1921/20/42 50:92:00,2,102,121.514228,25.049916,Taipei City,Datong District,Jianming Vil.
CC133572,1921/20/22 01:11:00,3,102,121.516625,25.07878,Taipei City,Datong District,Chongqing Vil.
C8140346,1921/20/60 41:61:00,2,102,121.52921,25.043682,Taipei City,Zhongzheng District,Meihua Vil.
CI118001,1921/20/40 20:80:00,2,102,121.547511,25.025953,Taipei City,Da an District,Qunxian Vil.
CF110642,1921/20/52 22:00:00,3,102,121.549793,25.000888,Taipei City,Wenshan District,Xingbang Vil.
CB125028,1921/20/30 50:71:00,2,102,121.56243,25.053504,Taipei City,Songshan District,Dongguang Vil.
CD128346,1921/21/21 51:14:00,2,102,121.484568,25.123368,Taipei City,Beitou District,Baxian Vil.
CG136418,1921/20/10 60:62:00,2,102,121.573186,25.059165,Taipei City,Neihu District,Huyuan Vil.
CI131008,1921/21/03 10:75:00,2,102,121.549662,25.043267,Taipei City,Da an District,Jian an Vil.
CB127759,1921/20/43 00:81:00,2,102,121.561135,25.059904,Taipei City,Songshan District,Dongrong Vil.
CC132847,1921/20/41 91:02:00,3,102,121.524462,25.116666,Taipei City,Shilin District,Tianshou Vil.
CB128363,1921/20/80 42:13:00,3,102,121.554613,25.049825,Taipei City,Songshan District,Fushi Vil.
C5127957,1921/21/01 30:31:00,2,102,121.507755,25.064935,Taipei City,Datong District,
CD128465,1921/21/20 81:61:00,2,102,121.511857,25.112114,Taipei City,Beitou District,Fuxing Vil.
CI131258,1921/21/20 80:31:00,2,102,121.563608,25.03454,Taipei City,Xinyi District,Xicun Vil.
CC135681,1921/20/40 51:03:00,3,102,121.570214,25.126492,Taipei City,Shilin District,Pingdeng Vil.
C9117928,1921/20/11 01:22:00,3,102,121.509744,25.048899,Taipei City,Datong District,Yuquan Vil.
C8139433,1921/20/51 71:91:00,2,102,121.533059,25.026934,Taipei City,Da an District,Long an Vil.
CH115055,1921/20/90 92:30:00,2,102,121.61018,25.062817,Taipei City,Neihu District,Lu Jhou Vil.
C7149998,1921/21/02 71:50:00,3,102,121.521514,25.063882,Taipei City,Zhongshan District,Jiying Vil.
C7149967,1921/21/01 91:25:00,3,102,121.533376,25.048808,Taipei City,Zhongshan District,Zhuyuan Vil.
C7143239,1921/20/22 01:45:00,3,102,121.51445,25.051979,Taipei City,Datong District,Jiangong Vil.
CA111233,1921/20/51 91:54:00,2,102,121.513487,25.025981,Taipei City,Zhongzheng District,Yonggong Vil.
CE112801,1921/20/72 00:94:00,3,102,121.546884,24.989766,Taipei City,Wenshan District,Shiyuan Vil.
CC137336,1921/20/50 12:25:00,2,102,121.522427,25.123668,Taipei City,Beitou District,Yongxin Vil.
CB133272,1921/20/80 92:22:00,2,102,121.539071,25.050123,Taipei City,Zhongshan District,Lixing Vil.
C7144856,1921/20/50 82:15:00,3,102,121.517288,25.056866,Taipei City,Datong District,Xingming Vil.
CG139279,1921/20/41 40:92:00,2,102,121.580808,25.091218,Taipei City,Neihu District,Jinrui Vil.
CA115302,1921/21/01 21:20:00,3,102,121.510862,25.033479,Taipei City,Zhongzheng District,Nanmen Vil.
C6124301,1921/20/21 51:61:00,2,102,121.492284,25.031291,Taipei City,Wanhua District,Luti Vil.
C6128928,1921/20/82 41:43:00,3,102,121.495707,25.027217,Taipei City,Wanhua District,Zhongde Vil.
CI130049,1921/20/91 31:85:00,2,102,121.567813,25.051321,Taipei City,Songshan District,Xinju Vil.
C8142142,1921/20/52 20:91:00,2,102,121.535522,25.037799,Taipei City,Da an District,Minzhao Vil.
CI128794,1921/20/70 81:53:00,2,102,121.553249,25.037821,Taipei City,Da an District,Checeng Vil.
CI128809,1921/20/70 52:04:00,2,102,121.560557,25.045403,Taipei City,Xinyi District,Xinren Vil.
C9119796,1921/20/90 81:64:00,3,102,121.522676,25.047859,Taipei City,Zhongzheng District,Meihua Vil.
CB126364,1921/20/60 41:91:00,2,102,121.561168,25.051299,Taipei City,Songshan District,Jixiang Vil.
CA118161,1921/21/21 82:33:00,2,102,121.507692,25.029228,Taipei City,Zhongzheng District,Zhongqin Vil.
C7900075,1921/20/42 10:40:00,3,102,121.539659,25.082254,Taipei City,Zhongshan District,Jiantan Vil.
CD122766,1921/20/40 22:05:00,2,102,121.492791,25.138903,Taipei City,Beitou District,Wenhua Vil.
CB126444,1921/20/33 11:45:00,2,102,121.5417,25.063663,Taipei City,Zhongshan District,Xiapi Vil.
CI105287,1921/20/10 72:24:00,2,102,121.564387,25.045334,Taipei City,Xinyi District,Xinren Vil.
C5127515,1921/20/73 10:85:00,2,102,121.510548,25.073854,Taipei City,Datong District,Laushi Vil.
CD124579,1921/20/11 22:01:00,3,102,121.502115,25.117145,Taipei City,Beitou District,Linong Vil.
CI105765,1921/20/12 12:35:00,2,102,121.561769,25.025495,Taipei City,Xinyi District,Shuanghe Vil.
CI130508,1921/21/02 61:92:00,3,102,121.560133,25.041057,Taipei City,Xinyi District,Xinglong Vil.
CD126648,1921/21/03 10:93:00,2,102,121.484568,25.123368,Taipei City,Beitou District,Baxian Vil.
CI129621,1921/20/81 91:14:00,2,102,121.560244,25.049982,Taipei City,Songshan District,Jixiang Vil.
CD127705,1921/20/92 91:03:00,2,102,121.505235,25.119607,Taipei City,Beitou District,Linong Vil.
CI128858,1921/20/72 20:00:00,2,102,121.549482,25.043304,Taipei City,Da an District,Jian an Vil.
CC142613,1921/21/12 02:03:00,3,102,121.509693,25.089686,Taipei City,Shilin District,Shezi Vil.
C9121015,1921/21/00 21:64:00,2,102,121.524345,25.036479,Taipei City,Zhongzheng District,Dongmen Vil.
C8149951,1921/21/20 40:81:00,3,102,121.544835,25.026793,Taipei City,Da an District,Qunying Vil.
CC141471,1921/21/10 51:62:00,3,102,121.514824,25.108504,Taipei City,Beitou District,Wenlin Vil.
CG142130,1921/20/91 82:02:00,2,102,121.582675,25.071025,Taipei City,Neihu District,Huxing Vil.
CB128785,1921/20/82 71:71:00,3,102,121.537544,25.059753,Taipei City,Zhongshan District,Jiangshan Vil.
CB126322,1921/20/41 21:10:00,2,102,121.545533,25.046377,Taipei City,Songshan District,Zhonglun Vil.
CA112127,1921/20/31 11:94:00,2,102,121.500832,25.029155,Taipei City,Wanhua District,Xin an Vil.
CC135677,1921/20/40 11:63:00,3,102,121.495274,25.092147,Taipei City,Shilin District,
C8145512,1921/21/01 31:41:00,2,102,121.549387,25.044912,Taipei City,Songshan District,Dunhua Vil.
CH112026,1921/20/12 81:15:00,3,102,121.637122,25.032685,Taipei City,Nangang District,Jiou Jhuang Vil.
CD114360,1921/20/53 11:73:00,2,102,121.494394,25.1349,Taipei City,Beitou District,Fengnian Vil.
C9118816,1921/20/32 41:11:00,3,102,121.514572,25.03817,Taipei City,Zhongzheng District,Jianguo Vil.
CE114629,1921/21/13 01:15:00,3,102,121.538034,24.988639,Taipei City,Wenshan District,Jingmei Vil.
CF109709,1921/20/31 61:11:00,3,102,121.532998,24.998239,Taipei City,Wenshan District,Jingren Vil.
C8135875,1921/20/42 70:30:00,3,102,121.524511,25.035436,Taipei City,Zhongzheng District,Wenxiang Vil.
CG143656,1921/21/12 51:13:00,2,102,121.573186,25.059035,Taipei City,Neihu District,Huyuan Vil.
C7143537,1921/20/32 90:05:00,3,102,121.517181,25.057578,Taipei City,Datong District,Shuanglian Vil.
C9119216,1921/20/40 10:81:00,3,102,121.507372,25.041576,Taipei City,Wanhua District,Xinqi Vil.
C7149896,1921/20/91 30:91:00,2,102,121.517227,25.056243,Taipei City,Datong District,Xingming Vil.
CA110403,1921/20/21 51:91:00,3,102,121.506997,25.034894,Taipei City,Zhongzheng District,Aiguo Vil.
C7900159,1921/20/51 11:51:00,3,102,121.53424,25.049002,Taipei City,Zhongshan District,Zhuyuan Vil.
C7141835,1921/20/10 71:65:00,3,102,121.514471,25.061363,Taipei City,Datong District,Minquan Vil.
